socks5://91.198.137.31:3538;DE
85.25.208.212:5566;DE
socks4://116.199.169.1:4145;IN
80.48.119.28:8080;PL
socks5://58.46.66.85:7302;CN
socks5://27.116.51.186:6667;IN
223.151.51.27:8085;CN
socks4://185.4.66.73:7777;GB
socks5://98.175.31.195:4145;US
102.68.128.214:8080;LY
socks5://182.148.54.65:7302;CN
socks5://173.212.221.21:43373;DE
socks5://61.135.30.54:7302;CN
socks5://72.221.172.203:4145;US
socks5://178.62.3.23:61302;US
socks5://104.131.8.62:32345;US
socks4://78.38.122.249:4153;IR
socks4://72.195.34.41:4145;US
120.220.220.95:8085;CN
socks4://174.77.111.197:4145;US
85.25.132.27:5566;DE
socks5://175.100.88.83:33427;KH
socks5://98.188.47.150:4145;US
171.35.164.20:8085;CN
169.57.1.85:8123;US
socks4://138.0.207.18:38328;BR
socks5://51.222.12.245:10084;CA
8.214.41.50:80;SG
socks5://103.27.179.63:1080;HK
202.136.165.22:80;SG
socks5://72.195.34.58:4145;US
socks5://207.188.180.35:9999;US
socks4://202.43.73.121:4145;ID
112.6.117.135:8085;CN
socks4://200.192.236.242:1080;CR
socks5://8.210.250.16:51364;SG
socks4://106.245.183.60:4145;KR
socks5://222.223.124.205:7302;CN
103.143.197.44:8080;ID
socks4://124.105.55.176:30906;PH
47.108.234.147:8088;CN
socks4://178.212.48.23:1080;PL
socks4://88.135.42.12:5678;IR
198.27.70.228:5566;CA
socks5://223.71.12.46:7302;CN
socks4://177.54.195.48:4145;BR
socks4://106.240.89.60:4145;KR
39.175.77.24:30001;CN
socks5://61.145.158.142:7302;CN
socks5://220.166.42.146:7302;CN
socks4://177.37.163.205:4153;BR
socks4://103.212.94.253:41363;IN
socks5://117.86.172.235:20003;CN
96.9.69.164:53281;KH
socks5://51.254.44.184:13150;FR
39.175.77.22:30001;CN
socks4://168.181.63.245:5678;BR
socks5://143.198.178.120:47646;US
socks5://27.191.191.27:7302;CN
socks4://109.69.0.179:5678;AL
socks5://43.224.10.37:6667;IN
198.11.183.14:80;US
104.211.29.96:80;US
socks5://174.77.111.197:4145;US
socks5://43.249.129.172:1080;AU
socks5://222.88.201.225:7302;CN
103.145.76.44:80;BD
37.238.132.194:80;IQ
socks4://178.158.197.147:3629;UA
socks5://117.86.190.66:20006;CN
socks4://36.95.210.67:5678;ID
socks5://45.55.32.201:30475;US
62.141.90.254:8080;RU
103.216.82.19:6666;IN
socks5://61.135.30.54:7300;CN
socks5://159.65.106.46:9050;US
14.139.207.116:80;IN
111.3.116.44:30001;CN
socks5://222.237.243.156:5002;KR
185.181.182.116:8085;IR
140.227.126.214:80;JP
socks5://89.201.4.136:33427;LV
socks4://47.180.63.37:54321;US
socks4://103.164.190.221:5430;none
138.94.255.227:80;GT
socks5://45.10.69.97:8888;US
socks4://101.43.20.190:7890;CN
socks4://91.198.137.31:3600;DE
socks5://54.38.242.224:54779;FR
socks5://207.228.63.2:52305;US
socks4://188.133.160.22:4145;RU
182.155.249.76:80;TW
socks4://36.67.147.221:4153;ID
socks5://121.34.248.21:7300;CN
socks4://103.25.122.41:44550;BD
103.209.64.19:6666;IN
socks5://39.107.49.84:32147;CN
51.81.80.44:80;US
socks5://47.242.168.225:51080;US
188.190.245.135:55443;UA
socks4://187.62.88.9:4153;BR
socks4://45.114.144.19:5678;IN
socks5://125.66.165.154:7302;CN
socks5://45.63.48.64:11889;US
116.73.15.204:8080;IN
43.255.113.232:82;KH
socks5://61.164.92.115:7302;CN
socks4://88.199.82.66:54194;PL
socks5://117.190.245.124:7302;CN
socks5://91.135.80.66:33427;LV
165.154.225.170:80;HK
socks5://218.108.110.210:7302;CN
socks5://137.184.192.24:47009;US
181.129.74.58:40667;CO
socks5://159.65.106.43:9050;US
socks5://43.156.47.253:1080;CN
52.168.34.113:80;US
socks5://60.255.137.42:7300;CN
socks4://103.151.219.18:1080;ID
socks4://217.145.199.112:56284;SK
200.114.79.27:999;CL
154.236.184.77:1976;EG
197.254.97.250:80;KE
socks5://167.99.153.77:5804;US
socks5://92.53.90.84:4230;RU
socks5://51.83.190.248:19050;FR
socks5://117.86.185.24:20012;CN
socks5://184.181.217.210:4145;US
67.63.33.7:80;US
socks5://117.86.185.24:20023;CN
socks4://217.218.233.164:1080;IR
197.232.65.40:55443;KE
socks5://221.2.210.70:7300;CN
socks4://24.37.245.42:51056;CA
socks5://39.129.178.13:7302;CN
68.238.58.62:80;US
socks4://154.73.85.149:57932;BW
socks5://120.198.46.16:7302;CN
socks5://58.58.252.82:7302;CN
socks5://79.137.34.27:47949;FR
socks5://167.99.153.77:3873;US
socks5://162.243.140.82:18400;US
socks5://104.131.8.62:52652;US
94.23.91.209:80;FR
socks5://222.174.252.54:7302;CN
112.6.117.178:8085;CN
socks5://79.143.30.163:55418;RU
socks5://72.195.34.41:4145;US
socks5://174.64.199.82:4145;US
socks4://43.248.24.234:4145;ID
socks5://52.229.184.124:22000;US
socks5://47.240.13.7:56935;US
socks5://119.188.168.145:7302;CN
socks4://178.48.68.61:4145;HU
socks5://34.211.135.255:20036;US
103.177.45.103:80;none
socks5://159.223.107.2:54606;US
158.69.52.218:9300;CA
socks5://67.201.33.9:25280;US
socks5://139.59.16.122:12188;SG
socks4://184.181.217.210:4145;US
194.5.193.183:80;DE
78.37.24.148:8080;RU
socks4://36.89.148.47:59171;ID
194.163.131.117:8080;DE
152.228.163.151:80;FR
118.179.173.253:40836;BD
socks5://207.180.204.70:65432;DE
socks5://67.201.33.10:25283;US
socks5://144.126.142.41:38682;US
socks5://160.153.254.240:32802;US
socks5://167.86.93.4:58889;DE
socks5://47.109.40.23:1080;CN
socks5://222.222.235.96:7302;CN
113.195.46.228:8085;CN
socks5://8.210.203.231:20238;SG
